sheet,table,range,column_index,excel_column,field_name,classification,inferred_type,formula_count,value_count,error_count,sample_values,formula_signatures,confidence,required,web_mapping,validation,source_status
ChiTietLopHoc,T_ChiTietLop,E5:BD4856,24,AB,Column5,INPUT/MASTER,text,0,0,0,,0,Thấp,Chưa xác nhận,Cần mapping entity/field,Cần workshop xác nhận,EXCEL-CONFIRMED structure
ChiTietLopHoc,T_ChiTietLop,E5:BD4856,25,AC,Nhac viec 1,CALCULATED,text,4838,0,0,,1,Cao,Chưa xác nhận,Cần mapping entity/field,Cần workshop xác nhận,EXCEL-CONFIRMED structure
ChiTietLopHoc,T_ChiTietLop,E5:BD4856,26,AD,Nhac viec 2,CALCULATED,text,4838,0,0,,1,Cao,Chưa xác nhận,Cần mapping entity/field,Cần workshop xác nhận,EXCEL-CONFIRMED structure
ChiTietLopHoc,T_ChiTietLop,E5:BD4856,27,AE,Phat sinh,CALCULATED,text,4838,0,0,,1,Cao,Chưa xác nhận,Cần mapping entity/field,Cần workshop xác nhận,EXCEL-CONFIRMED structure
ChiTietLopHoc,T_ChiTietLop,E5:BD4856,28,AF,Ngay HT,INPUT/MASTER,text,0,0,0,,0,Cao,Chưa xác nhận,Cần mapping entity/field,Cần workshop xác nhận,EXCEL-CONFIRMED structure
ChiTietLopHoc,T_ChiTietLop,E5:BD4856,29,AG,Ket qua,CALCULATED,text,4838,0,0,,1,Cao,Chưa xác nhận,Cần mapping entity/field,Cần workshop xác nhận,EXCEL-CONFIRMED structure
ChiTietLopHoc,T_ChiTietLop,E5:BD4856,30,AH,Column2,INPUT/MASTER,text,0,0,0,,0,Thấp,Chưa xác nhận,Cần mapping entity/field,Cần workshop xác nhận,EXCEL-CONFIRMED structure
ChiTietLopHoc,T_ChiTietLop,E5:BD4856,31,AI,So_Gio,CALCULATED,number/Excel serial,4851,4851,0,0,1,Cao,Chưa xác nhận,Cần mapping entity/field,Cần workshop xác nhận,EXCEL-CONFIRMED structure
ChiTietLopHoc,T_ChiTietLop,E5:BD4856,32,AJ,So_gio_GV,CALCULATED,number/Excel serial,4851,4851,0,1,1,Cao,Chưa xác nhận,Cần mapping entity/field,Cần workshop xác nhận,EXCEL-CONFIRMED structure
ChiTietLopHoc,T_ChiTietLop,E5:BD4856,33,AK,Luongh_GV,CALCULATED,number/Excel serial,4851,4851,0,0,1,Cao,Chưa xác nhận,Cần mapping entity/field,Cần workshop xác nhận,EXCEL-CONFIRMED structure
ChiTietLopHoc,T_ChiTietLop,E5:BD4856,34,AL,Ca_Gio,CALCULATED,number/Excel serial,4851,4851,0,0,1,Cao,Chưa xác nhận,Cần mapping entity/field,Cần workshop xác nhận,EXCEL-CONFIRMED structure
ChiTietLopHoc,T_ChiTietLop,E5:BD4856,35,AM,Tien_GV,CALCULATED,number/Excel serial,4851,4851,0,0,1,Cao,Chưa xác nhận,Cần mapping entity/field,Cần workshop xác nhận,EXCEL-CONFIRMED structure
ChiTietLopHoc,T_ChiTietLop,E5:BD4856,36,AN,So_gio_TG,CALCULATED,number/Excel serial,4851,4851,0,0,1,Cao,Chưa xác nhận,Cần mapping entity/field,Cần workshop xác nhận,EXCEL-CONFIRMED structure
ChiTietLopHoc,T_ChiTietLop,E5:BD4856,37,AO,Luongh_TG,CALCULATED,number/Excel serial,4851,4851,0,0,1,Cao,Chưa xác nhận,Cần mapping entity/field,Cần workshop xác nhận,EXCEL-CONFIRMED structure
ChiTietLopHoc,T_ChiTietLop,E5:BD4856,38,AP,Tien_TG,CALCULATED,number/Excel serial,4851,4851,0,0,1,Cao,Chưa xác nhận,Cần mapping entity/field,Cần workshop xác nhận,EXCEL-CONFIRMED structure
ChiTietLopHoc,T_ChiTietLop,E5:BD4856,39,AQ,Gio NV,CALCULATED,number/Excel serial,4851,4851,0,0,1,Cao,Chưa xác nhận,Cần mapping entity/field,Cần workshop xác nhận,EXCEL-CONFIRMED structure
ChiTietLopHoc,T_ChiTietLop,E5:BD4856,40,AR,Cong NV,CALCULATED,number/Excel serial,4851,4851,0,0,1,Cao,Chưa xác nhận,Cần mapping entity/field,Cần workshop xác nhận,EXCEL-CONFIRMED structure
ChiTietLopHoc,T_ChiTietLop,E5:BD4856,41,AS,TenLop2,CALCULATED,text,4851,4851,0, (+),1,Cao,Chưa xác nhận,Cần mapping entity/field,Cần workshop xác nhận,EXCEL-CONFIRMED structure
ChiTietLopHoc,T_ChiTietLop,E5:BD4856,42,AT,TenLop3,CALCULATED,number/Excel serial,4851,4851,0,0,1,Cao,Chưa xác nhận,Cần mapping entity/field,Cần workshop xác nhận,EXCEL-CONFIRMED structure
ChiTietLopHoc,T_ChiTietLop,E5:BD4856,43,AU,am/pm,CALCULATED,text,4851,4851,0, (,1,Cao,Chưa xác nhận,Cần mapping entity/field,Cần workshop xác nhận,EXCEL-CONFIRMED structure
ChiTietLopHoc,T_ChiTietLop,E5:BD4856,44,AV,Column1,CALCULATED,number/Excel serial,4851,4851,0,11900,1,Thấp,Chưa xác nhận,Cần mapping entity/field,Cần workshop xác nhận,EXCEL-CONFIRMED structure
