sheet,table,field,signature,example,count,rule_id,status
ChiTietLopHoc,T_ChiTietLop,Tien_GV,"IFERROR(T_ChiTietLop[[#This Row],[So_gio_GV]]*T_ChiTietLop[[#This Row],[Luongh_GV]],{n})","IFERROR(T_ChiTietLop[[#This Row],[So_gio_GV]]*T_ChiTietLop[[#This Row],[Luongh_GV]],0)",4851,FR-0012,Cần chuyển thành Business Rule và UAT
ChiTietLopHoc,T_ChiTietLop,So_gio_TG,"IF(TRIM(T_ChiTietLop[[#This Row],[ThoiGian]])="""",{n},((RIGHT(T_ChiTietLop[[#This Row],[ThoiGian]],{n})-LEFT(T_ChiTietLop[[#This Row],[ThoiGian]],{n}))*{n})+{n}+IF(T_ChiTietLop[[#This Row],[Cộng giờ TG]]="""",{n},T_ChiTietLop[[#This Row],[Cộng giờ TG]])-IF(T_ChiTietLop[[#This Row],[Đi muộn TG]]="""",{n},T_ChiTietLop[[#This Row],[Đi muộn TG]]))","IF(TRIM(T_ChiTietLop[[#This Row],[ThoiGian]])="""",0,((RIGHT(T_ChiTietLop[[#This Row],[ThoiGian]],5)-LEFT(T_ChiTietLop[[#This Row],[ThoiGian]],5))*24)+0.5+IF(T_ChiTietLop[[#This Row],[Cộng giờ TG]]="""",0,T_ChiTietLop[[#This Row],[Cộng giờ TG]])-IF(T_ChiTietLop[[#This Row],[Đi muộn TG]]="""",0,T_ChiTietLop[[#This Row],[Đi muộn TG]]))",4851,FR-0013,Cần chuyển thành Business Rule và UAT
ChiTietLopHoc,T_ChiTietLop,Luongh_TG,"IFERROR(VLOOKUP(T_ChiTietLop[[#This Row],[Trợ giảng]],T_NS[[Tên ngắn]:[Column3]],{n},{n}),{n})","IFERROR(VLOOKUP(T_ChiTietLop[[#This Row],[Trợ giảng]],T_NS[[Tên ngắn]:[Column3]],4,0),0)",4851,FR-0014,Cần chuyển thành Business Rule và UAT
ChiTietLopHoc,T_ChiTietLop,Tien_TG,"IF(T_ChiTietLop[[#This Row],[TTHoc]]=""K"","""",T_ChiTietLop[[#This Row],[So_gio_TG]]*T_ChiTietLop[[#This Row],[Luongh_TG]])","IF(T_ChiTietLop[[#This Row],[TTHoc]]=""K"","""",T_ChiTietLop[[#This Row],[So_gio_TG]]*T_ChiTietLop[[#This Row],[Luongh_TG]])",4851,FR-0015,Cần chuyển thành Business Rule và UAT
ChiTietLopHoc,T_ChiTietLop,Gio NV,"(T_ChiTietLop[[#This Row],[Về S]]+T_ChiTietLop[[#This Row],[Về C]]-T_ChiTietLop[[#This Row],[Đến C]]-T_ChiTietLop[[#This Row],[Đến S]])*{n}","(T_ChiTietLop[[#This Row],[Về S]]+T_ChiTietLop[[#This Row],[Về C]]-T_ChiTietLop[[#This Row],[Đến C]]-T_ChiTietLop[[#This Row],[Đến S]])*24",4851,FR-0016,Cần chuyển thành Business Rule và UAT
ChiTietLopHoc,T_ChiTietLop,Cong NV,"T_ChiTietLop[[#This Row],[Gio NV]]/{n}","T_ChiTietLop[[#This Row],[Gio NV]]/8",4851,FR-0017,Cần chuyển thành Business Rule và UAT
ChiTietLopHoc,T_ChiTietLop,TenLop2,"T_ChiTietLop[[#This Row],[TenLop]]&"" (""&T_ChiTietLop[[#This Row],[Giáo viên]]&""+""&T_ChiTietLop[[#This Row],[Trợ giảng]]&"")""","T_ChiTietLop[[#This Row],[TenLop]]&"" (""&T_ChiTietLop[[#This Row],[Giáo viên]]&""+""&T_ChiTietLop[[#This Row],[Trợ giảng]]&"")""",4851,FR-0018,Cần chuyển thành Business Rule và UAT
ChiTietLopHoc,T_ChiTietLop,TenLop3,"SUMIF(T_HV[TenLop],T_ChiTietLop[[#This Row],[TenLop]],T_HV[TenHV])","SUMIF(T_HV[TenLop],T_ChiTietLop[[#This Row],[TenLop]],T_HV[TenHV])",4851,FR-0019,Cần chuyển thành Business Rule và UAT
ChiTietLopHoc,T_ChiTietLop,am/pm,"LEFT(T_ChiTietLop[[#This Row],[Time và buoi]],{n})","LEFT(T_ChiTietLop[[#This Row],[Time và buoi]],2)",4851,FR-0020,Cần chuyển thành Business Rule và UAT
ChiTietLopHoc,T_ChiTietLop,Column1,"DAY(T_ChiTietLop[[#This Row],[Ngay thang]])&MONTH(T_ChiTietLop[[#This Row],[Ngay thang]])&YEAR(T_ChiTietLop[[#This Row],[Ngay thang]])","DAY(T_ChiTietLop[[#This Row],[Ngay thang]])&MONTH(T_ChiTietLop[[#This Row],[Ngay thang]])&YEAR(T_ChiTietLop[[#This Row],[Ngay thang]])",4851,FR-0021,Cần chuyển thành Business Rule và UAT
